alternatifHadiseIstNo;boylam;enlem;gunlukTahminIstNo;il;ilPlaka;ilce;merkezId;oncelik;saatlikTahminIstNo;sondurumIstNo;yukseklik;aciklama;modelId;gps
;33.5181;39.8433;97101;Kırıkkale;71;Merkez;97101;1;17135;17135;751;;114332;1
;42.4523;37.5209;97301;Şırnak;73;Merkez;97301;1;17287;17287;1350;;80470;1
;42.7055;41.1061;97501;Ardahan;75;Merkez;97501;1;17046;17046;1827;;132876;1
;33.2202;37.1932;97001;Karaman;70;Merkez;97001;1;17246;17246;1018;;75680;1
;37.1123;36.7085;97901;Kilis;79;Merkez;97901;1;17262;17262;640;;68562;1
;41.2544;39.9058;92501;Erzurum;25;Yakutiye;92501;1;17095;17095;1860;;115159;1
;32.6294;41.2327;97801;Karabük;78;Merkez;97801;1;17077;17078;485;;133962;1
;27.4049;38.6153;94501;Manisa;45;Yunusemre;94508;1;17186;17186;71;;95856;1
17060.0;28.8208;40.9819;93401;İstanbul;34;Bakırköy;93401;1;17060;17060;33;Bu merkez sondurum verisini Atatürk Havalimanı'ndan  almaktadır.;130602;1
;33.7756;41.371;93701;Kastamonu;37;Merkez;93701;1;17074;17074;800;;135952;1
;36.2539;37.1021;98001;Osmaniye;80;Merkez;98001;1;17355;17355;94;;74438;1
;43.0522;39.7253;90401;Ağrı;4;Merkez;90401;1;17099;17099;1646;;112579;1
;36.2564;41.3442;95501;Samsun;55;Atakum;95501;1;17030;17030;4;;136008;1
;30.3934;40.7676;95401;Sakarya;54;Adapazarı;95401;1;17069;17069;30;;127362;1
;38.7863;37.1608;96301;Şanlıurfa;63;Eyyübiye;96301;1;17270;17270;550;;75149;1
;32.4713;37.8687;94201;Konya;42;Meram;94201;1;17245;17245;1029;;85488;1
;40.5013;41.04;95301;Rize;53;Merkez;95301;1;17040;17040;0;;131517;1
;37.4617;36.9468;92701;Gaziantep;27;Oğuzeli;92701;1;17261;17261;700;;71844;1
;36.915;37.576;94601;Kahramanmaraş;46;Merkez;94601;1;17255;17255;0;;81002;1
;35.8353;40.6668;90501;Amasya;5;Merkez;90501;1;17085;17085;409;;126173;1
;43.7388;37.5744;93001;Hakkari;30;Merkez;93001;1;17285;17285;1727;;81154;1
;34.8159;39.8243;96601;Yozgat;66;Merkez;96601;1;17140;17140;1301;;113706;1
;35.298;36.9838;90101;Adana;1;Seyhan;90101;1;17352;19272;20;;72451;1
;41.1562;37.8636;97201;Batman;72;Merkez;97201;1;17282;17282;610;;85681;1
;38.2775;37.7553;90201;Adıyaman;2;Merkez;90201;1;17265;17265;672;;83652;1
;30.6828;36.8851;90701;Antalya;7;Muratpaşa;90701;1;17302;17302;47;;71039;1
;33.6102;40.6082;91801;Çankırı;18;Merkez;91801;1;17080;17080;755;;125469;1
;27.8379;37.8402;90901;Aydın;9;Merkez;90901;1;17234;17234;56;;84731;1
;39.4653;40.4598;92901;Gümüşhane;29;Merkez;92901;1;17088;17088;1216;;122979;1
;29.9891;39.4171;94301;Kütahya;43;Merkez;94301;1;17155;17155;969;;107703;1
;34.7025;38.6163;95001;Nevşehir;50;Merkez;95001;1;17193;17193;1260;;96018;1
;34.9362;40.5461;91901;Çorum;19;Merkez;91901;1;17084;17084;776;;124188;1
;27.1895;38.4049;93501;İzmir;35;Konak;93501;1;17220;17220;29;;93231;1
;43.1073;40.6042;93601;Kars;36;Merkez;93601;1;17097;17097;1795;;125025;1
;41.5023;38.7509;94901;Muş;49;Merkez;94901;1;17204;17204;1316;;98134;1
;41.9354;37.9319;95601;Siirt;56;Merkez;95601;1;17210;17210;895;;86354;1
;36.5577;40.3312;96001;Tokat;60;Merkez;96001;1;17086;17086;611;;120949;1
;39.2973;38.6058;92301;Elazığ;23;Merkez;92301;1;17201;17201;881;;96120;1
;27.9207;39.6551;91001;Balıkesir;10;Merkez;91001;1;17150;18433;110;;110932;1
;31.1488;40.8437;98101;Düzce;81;Merkez;98101;1;17072;17072;146;;128689;1
;29.2796;40.6589;97701;Yalova;77;Merkez;97701;1;17119;17119;4;;126028;1
;29.404;38.6712;96401;Uşak;64;Merkez;96401;1;17188;17188;919;;96555;1
;35.1545;42.0299;95701;Sinop;57;Merkez;95701;1;17026;17026;0;;145808;1
;30.5604;38.738;90301;Afyonkarahisar;3;Merkez;90301;1;17190;17190;1034;;97891;1
;39.4868;39.7523;92401;Erzincan;24;Merkez;92401;1;17094;17094;1216;;112499;1
;28.3668;37.2095;94801;Muğla;48;Menteşe;94801;1;17292;17292;646;;75572;1
;40.2207;40.2547;96901;Bayburt;69;Merkez;96901;1;17089;17089;1584;;120376;1
;29.9772;40.1414;91101;Bilecik;11;Merkez;91101;1;17120;17120;539;;118183;1
;40.5007;38.8847;91201;Bingöl;12;Merkez;91201;1;17203;17203;1139;;100077;1
;26.5508;41.6767;92201;Edirne;22;Merkez;92201;1;17050;17050;51;;140377;1
;38.3878;40.9227;92801;Giresun;28;Merkez;92801;1;17034;17034;38;;130160;1
;38.25;38.35;94401;Malatya;44;Merkez;94401;1;17197;17199;950;;92167;1
;40.7284;37.3103;94701;Mardin;47;Artuklu;94711;1;17275;17275;1040;;77157;1
;43.346;38.4693;96501;Van;65;Edremit;96501;1;17170;17172;1675;;94245;1
;35.4908;38.773;93801;Kayseri;38;Kocasinan;93801;1;17196;17196;1053;;98656;1
